english,french,spanish,italien,german,portuguese,greek,russian,japanese,hindi,chinese,dutch,egyptian,thai
cat,chat,gato,gatto,Katze,gato,γάτα,кот,猫,बिल्ली,猫,kat,قطة,แมว
weather,météo,clima,tempo atmosferico,Wetter,clima,καιρός,погода,天気,मौसम,天气,weer,طقس,สภาพอากาศ
sock,chaussette,calcetín,calzino,Socke,peúga,κάλτσα,носок,靴下,जुर्राब,短袜,sok,جورب,ถุงเท้า
ergonomy,ergonomie,ergonomía,ergonomia,Ergonomie,ergonomia,εργονομία,эргономика,人間工学,एर्गोनॉमी,人体工学,ergonomie,بيئة العمل,การยศาสตร์
tow,remorquer,remolcar,trainare,schleppen,rebocar,ρυμούλκηση,буксир,牽引,टो,拖,slepen,يسحب,ลากจูง
reader,lecteur,lector,lettore,Leser,leitor,αναγνώστης,читатель,リーダー,पाठक,读者,lezer,قارئ,ผู้อ่าน
modification,modification,modificación,modifica,Änderung,modificação,τροποποίηση,модификация,修正,परिवर्तन,修改,wijziging,تعديل,การปรับเปลี่ยน
big,grand,grande,grande,groß,grande,μεγάλος,большой,大きい,बड़ा,大的,groot,كبير,ใหญ่
veil,voile,velo,velo,Schleier,véu,πέπλο,вуаль,ベール,आवरण,面纱,sluier,حجاب,ผ้าคลุมหน้า
scratch,gratter,rascar,graffio,kratzen,arranhar,γρατσουνιά,царапать,傷,खरोंचना,划痕,kras,يخدش,เกา
desert,désert,desierto,deserto,Wüste,deserto,έρημος,пустыня,砂漠,रेगिस्तान,沙漠,woestijn,صحراء,ทะเลทราย
afternoon,après-midi,tarde,pomeriggio,Nachmittag,tarde,απόγευμα,полдень,午後,दोपहर,下午,middag,بعد الظهر,ตอนบ่าย
chocolate,chocolat,chocolate,cioccolato,Schokolade,chocolate,σοκολάτα,шоколад,チョコレート,चॉकलेट,巧克力,chocolade,شوكولاتة,ช็อคโกแลต
keyboard,clavier,teclado,tastiera,Tastatur,teclado,πληκτρολόγιο,клавиатура,キーボード,कीबोर्ड,键盘,toetsenbord,لوحة المفاتيح,แป้นพิมพ์
black,noir,negro,nero,Schwarz,preto,μαύρος,черный,黒,काला,黑色的,zwart,أسود,สีดำ
boat,bateau,bote,barca,Boot,barco,σκάφος,лодка,ボート,नाव,船,boot,قارب,เรือ
tree,arbre,árbol,albero,Baum,árvore,δέντρο,дерево,木,पेड़,树,boom,شجرة,ต้นไม้
chain,chaîne,cadena,catena,Kette,corrente,αλυσίδα,цепь,鎖,जंजीर,链,ketting,سلسلة,โซ่
lys,Lys,lis,lis,Lys,lis,λυς,Лис,リス,लिस,赖氨酸,lys,lys,ลิส
virus,virus,virus,virus,Virus,vírus,ιός,вирус,ウイルス,वायरस,病毒,virus,فايروس,ไวรัส
apple,pomme,manzana,mela,Apfel,maçã,μήλο,яблоко,りんご,सेब,苹果,appel,تفاحة,แอปเปิล
ring,anneau,anillo,squillo,Ring,anel,δαχτυλίδι,кольцо,指輪,अँगूठी,戒指,ring,جرس,แหวน
beetroot,betterave,remolacha,barbabietola,Rote Bete,beterraba,παντζάρι,свекла,ビーツ,चुकंदर,甜菜根,biet,الشمندر,บีทรูท
electricity,électricité,electricidad,elettricità,Strom,eletricidade,ηλεκτρισμός,электричество,電気,बिजली,电,elektriciteit,كهرباء,ไฟฟ้า
drum,tambour,tambor,tamburo,Trommel,tambor,τύμπανο,барабан,ドラム,ड्रम,鼓,trommel,طبل,กลอง
