,relation,head,tail,weight
914,Antonym,acatalectique/a,catalectique,2.0
915,Antonym,accessible/a,inaccessible,2.0
916,Antonym,accourcir/v,allonger,2.0
917,Antonym,acyclique/a,cyclique,2.0
918,Antonym,adret/n,ubac,2.0
919,Antonym,agrammatical/a,grammatical,2.0
920,Antonym,agrément/n,désagrément,2.0
921,Antonym,alcaliniser/v,acidifier,2.0
922,Antonym,aliénable/a,inaliénable,2.0
923,Antonym,aller_simple/n,aller_retour,2.0
924,Antonym,alphabète/a,analphabète,2.0
925,Antonym,aléatoire/a,déterministe,2.0
926,Antonym,animal/a,végétal,2.0
927,Antonym,antidater/v,postdater,2.0
928,Antonym,antilogue/a,analogue,2.0
929,Antonym,antisoviétique/a,prosoviétique,2.0
930,Antonym,apogée/n,périgée,2.0
931,Antonym,apophase/n,cataphase,2.0
932,Antonym,apporter/v,emporter,2.0
933,Antonym,apéritif/n,digestif,2.0
934,Antonym,arabophile/a,arabophobe,2.0
935,Antonym,arabophobe/a,arabophile,2.0
936,Antonym,artificiel/a,naturel,2.0
937,Antonym,ascendance/n,descendance,2.0
938,Antonym,asynchrone/a,synchrone,2.0
939,Antonym,atténuation/n,amplification,2.0
940,Antonym,audible/a,inaudible,2.0
941,Antonym,audionumérique/a,analogique,2.0
942,Antonym,avenir/n,passé,2.0
943,Antonym,aîné/n,cadet,2.0
944,Antonym,aîné/n,puîné,2.0
945,Antonym,bidirectionnel/a,unidirectionnel,2.0
946,Antonym,bien_être/n,mal_être,2.0
947,Antonym,bit_le_moins_significatif/n,bit_le_plus_significatif,2.0
948,Antonym,bit_le_plus_significatif/n,bit_le_moins_significatif,2.0
949,Antonym,blanchissement/n,noircissement,2.0
950,Antonym,bonheur/n,malheur,2.0
951,Antonym,bradycardie/n,tachycardie,2.0
952,Antonym,branchement/n,débranchement,2.0
953,Antonym,buvable/a,imbuvable,2.0
954,Antonym,bâbord/n,tribord,2.0
955,Antonym,cacophonie/n,euphonie,2.0
956,Antonym,calculable/a,incalculable,2.0
957,Antonym,calme/a,agité,2.0
958,Antonym,calme/a,turbulent,2.0
959,Antonym,calme/n,agitation,2.0
960,Antonym,calme/n,turbulence,2.0
961,Antonym,catalectique/a,acatalectique,2.0
962,Antonym,cataphase/n,apophase,2.0
963,Antonym,cauchemar/n,rêve,2.0
964,Antonym,certitude/n,doute,2.0
965,Antonym,certitude/n,incertitude,2.0
966,Antonym,ci,là,2.0
967,Antonym,circonscriptible/a,incirconscriptible,2.0
968,Antonym,citérieur/a,ultérieur,2.0
969,Antonym,collectiviser/v,décollectiviser,2.0
970,Antonym,comestible/a,immangeable,2.0
971,Antonym,comestible/a,incomestible,2.0
972,Antonym,communauté/n,individu,2.0
973,Antonym,compatibilité_ascendante/n,compatibilité_descendante,2.0
974,Antonym,compatibilité_descendante/n,compatibilité_ascendante,2.0
975,Antonym,compatible/a,incompatible,2.0
976,Antonym,complication/n,simplification,2.0
977,Antonym,concevable/a,inconcevable,2.0
978,Antonym,confiance/n,défiance,2.0
979,Antonym,confortable/a,inconfortable,2.0
980,Antonym,conscience/n,inconscience,2.0
981,Antonym,constructif/a,destructif,2.0
982,Antonym,contrôlable/a,incontrôlable,2.0
983,Antonym,convexe/a,concave,2.0
984,Antonym,convexe/a,creux,2.0
985,Antonym,corpusculaire/a,ondulatoire,2.0
986,Antonym,croyable/a,incroyable,2.0
987,Antonym,croître/v,décroître,2.0
988,Antonym,crypter/v,déchiffrer,2.0
989,Antonym,crépuscule/n,aube,2.0
990,Antonym,d_glycéraldéhyde/n,l_glycéraldéhyde,2.0
991,Antonym,dedans/n,dehors,2.0
992,Antonym,dedans/r,dehors,2.0
993,Antonym,dehors/n,dedans,2.0
994,Antonym,dehors/r,dedans,2.0
995,Antonym,descendant/a,ascendant,2.0
996,Antonym,descendant/a,montant,2.0
997,Antonym,descendant/n,ancêtre,2.0
998,Antonym,dessous/n,dessus,2.0
999,Antonym,dessus/r,dessous,2.0
1000,Antonym,dette/n,créance,2.0
1001,Antonym,dia,hue,2.0
1002,Antonym,diastole/n,systole,2.0
1003,Antonym,digestif/n,apéritif,2.0
1004,Antonym,discutable/a,indiscutable,2.0
1005,Antonym,domptable/a,indomptable,2.0
1006,Antonym,doucement/r,durement,2.0
1007,Antonym,droite/n,gauche,2.0
1008,Antonym,dualisme/n,monisme,2.0
1009,Antonym,dystopie/n,utopie,2.0
1010,Antonym,déboisement/n,reboisement,2.0
1011,Antonym,déchiffrage/n,chiffrage,2.0
1012,Antonym,déchiffrement/n,chiffrement,2.0
1013,Antonym,découplage/n,couplage,2.0
1014,Antonym,déculpabiliser/v,culpabiliser,2.0
1015,Antonym,défaite/n,victoire,2.0
1016,Antonym,défendeur/n,demandeur,2.0
1017,Antonym,défiance/n,confiance,2.0
1018,Antonym,dégréement/n,gréement,2.0
1019,Antonym,déjà/r,pas_encore,2.0
1020,Antonym,démailloter/v,emmailloter,2.0
1021,Antonym,démocratique/a,antidémocratique,2.0
1022,Antonym,démocratique/a,dictatorial,2.0
1023,Antonym,démocratique/a,totalitaire,2.0
1024,Antonym,démontrable/a,indémontrable,2.0
1025,Antonym,dénombrable/a,indénombrable,2.0
1026,Antonym,dépendamment/r,indépendamment,2.0
1027,Antonym,déracinement/n,enracinement,2.0
1028,Antonym,déraciner/v,enraciner,2.0
